Strain,Subspecies,Host_cn,Host_sn,Growth_form,Crop,Location0,Location1,Location2,Location3,Latitude,Longitude,Rate,logRate,RR,logRR,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Je63,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Bakersfield, General Beale road",CA,35.2494,-118.7528,0.148809524,-0.827369273,14880952.38,7.172630727,17.33158302,15.125,44.59152603,691.251709,35.69124985,1.772249937,33.91899872,10.73562527,25.93937492,25.93937492,9.248291969,236,48,1,80.31604767,125,6,6,105
Je78,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Bakersfield, General Beale road",CA,35.2176,-118.7607,0.008028986,-2.095339326,802898.5507,5.904660674,17.33158302,15.125,44.59152603,691.251709,35.69124985,1.772249937,33.91899872,10.73562527,25.93937492,25.93937492,9.248291969,236,48,1,80.31604767,125,6,6,105
Je78,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Bakersfield, General Beale road",CA,35.2176,-118.7607,0.042367347,-1.372968731,4236734.694,6.627031269,17.33158302,15.125,44.59152603,691.251709,35.69124985,1.772249937,33.91899872,10.73562527,25.93937492,25.93937492,9.248291969,236,48,1,80.31604767,125,6,6,105
Je60,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Bakersfiled, Tower Line road",CA,35.3357,-118.8068,0.00042623,-3.370356487,42622.95082,4.629643513,16.90937424,16.23604202,46.94566727,687.1893311,36.04949951,1.464750051,34.58475113,10.09066677,25.48316574,25.48316574,8.984042168,297,57,1,79.83092499,154,8,8,136
Je60,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Bakersfiled, Tower Line road",CA,35.3357,-118.8068,0.001638554,-2.785539184,163855.4217,5.214460816,16.90937424,16.23604202,46.94566727,687.1893311,36.04949951,1.464750051,34.58475113,10.09066677,25.48316574,25.48316574,8.984042168,297,57,1,79.83092499,154,8,8,136
ALS14T3,subsp.multiplex,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Claribel",CA,37.8275217,-120.9771333,0,0,0,0,16.29041672,14.65408325,45.99523926,635.6850586,34.06299973,2.203000069,31.86000061,10.1817503,23.81004143,23.81004143,8.373332977,352,64,1,85.3021698,181,5,5,170
ALS14T3,subsp.multiplex,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Claribel",CA,37.8275217,-120.9771333,0,0,0,0,16.29041672,14.65408325,45.99523926,635.6850586,34.06299973,2.203000069,31.86000061,10.1817503,23.81004143,23.81004143,8.373332977,352,64,1,85.3021698,181,5,5,170
ALS14T5,subsp.fastidiosa,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Claribel",CA,37.8275217,-120.9771333,0.001196653,-2.922031625,119665.3389,5.077968375,16.29041672,14.65408325,45.99523926,635.6850586,34.06299973,2.203000069,31.86000061,10.1817503,23.81004143,23.81004143,8.373332977,352,64,1,85.3021698,181,5,5,170
ALS14T5,subsp.fastidiosa,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Claribel",CA,37.8275217,-120.9771333,0.008477076,-2.071753908,847707.6288,5.928246092,16.29041672,14.65408325,45.99523926,635.6850586,34.06299973,2.203000069,31.86000061,10.1817503,23.81004143,23.81004143,8.373332977,352,64,1,85.3021698,181,5,5,170
ALS10T14,subsp.fastidiosa,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Colusa",CA,39.25,-122.23,0.000274213,-3.561911268,27421.3437,4.438088732,16.24650002,15.66924953,48.35815048,624.6707153,34.29524994,1.892750025,32.40250015,8.692250252,23.75395775,23.75395775,8.692250252,440,92,1,88.80075836,235,9,9,235
ALS10T14,subsp.fastidiosa,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Colusa",CA,39.25,-122.23,0.010100556,-1.995654737,1010055.559,6.004345263,16.24650002,15.66924953,48.35815048,624.6707153,34.29524994,1.892750025,32.40250015,8.692250252,23.75395775,23.75395775,8.692250252,440,92,1,88.80075836,235,9,9,235
ALS10T3,subsp.multiplex,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Colusa",CA,39.25,-122.23,0,0,0,0,16.24650002,15.66924953,48.35815048,624.6707153,34.29524994,1.892750025,32.40250015,8.692250252,23.75395775,23.75395775,8.692250252,440,92,1,88.80075836,235,9,9,235
ALS10T3,subsp.multiplex,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Colusa",CA,39.25,-122.23,0,0,0,0,16.24650002,15.66924953,48.35815048,624.6707153,34.29524994,1.892750025,32.40250015,8.692250252,23.75395775,23.75395775,8.692250252,440,92,1,88.80075836,235,9,9,235
ALS12T1,subsp.multiplex,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Colusa",CA,39.3,-122.23,0.00706785,-2.150712701,706784.9597,5.849287299,16.24650002,15.66924953,48.35815048,624.6707153,34.29524994,1.892750025,32.40250015,8.692250252,23.75395775,23.75395775,8.692250252,440,92,1,88.80075836,235,9,9,235
ALS12T1,subsp.multiplex,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Colusa",CA,39.3,-122.23,0.019422965,-1.711684462,1942296.548,6.288315538,16.24650002,15.66924953,48.35815048,624.6707153,34.29524994,1.892750025,32.40250015,8.692250252,23.75395775,23.75395775,8.692250252,440,92,1,88.80075836,235,9,9,235
M12,subsp.multiplex,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Kern",CA,35.4937,-118.8597,0,0,0,0,18.59447861,15.99570847,45.03264618,725.3770752,37.85774994,2.337500095,35.52024841,11.66187477,27.55504227,27.55504227,9.981416702,187,37,0,79.0202179,99,4,4,84
M12,subsp.multiplex,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Kern",CA,35.4937,-118.8597,0,0,0,0,18.59447861,15.99570847,45.03264618,725.3770752,37.85774994,2.337500095,35.52024841,11.66187477,27.55504227,27.55504227,9.981416702,187,37,0,79.0202179,99,4,4,84
M23,subsp.fastidiosa,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Kern",CA,35.4937,-118.8597,0.000000247,-6.606775884,24.73,1.393224116,18.59447861,15.99570847,45.03264618,725.3770752,37.85774994,2.337500095,35.52024841,11.66187477,27.55504227,27.55504227,9.981416702,187,37,0,79.0202179,99,4,4,84
M23,subsp.fastidiosa,Almonds,Prunus dulcis,tree,1,WUS,CA,"USA, California, Kern",CA,35.4937,-118.8597,0.00000578,-5.238072162,578,2.761927838,18.59447861,15.99570847,45.03264618,725.3770752,37.85774994,2.337500095,35.52024841,11.66187477,27.55504227,27.55504227,9.981416702,187,37,0,79.0202179,99,4,4,84
LM10,subsp.multiplex,Olive,Olea europaea,tree,1,WUS,CA,"USA, California, Los Angeles",CA,34.0522342,-118.2436849,0,0,0,0,18.55937576,13.30916691,56.35358429,378.9324341,30.96274948,7.345499992,23.61724854,14.63670826,22.8864994,23.52416611,14.24745846,406,93,1,101.7921982,257,6,11,234
LM10,subsp.multiplex,Olive,Olea europaea,tree,1,WUS,CA,"USA, California, Los Angeles",CA,34.0522342,-118.2436849,0,0,0,0,18.55937576,13.30916691,56.35358429,378.9324341,30.96274948,7.345499992,23.61724854,14.63670826,22.8864994,23.52416611,14.24745846,406,93,1,101.7921982,257,6,11,234
Conn-creek,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Napa Valley",CA,38.2975381,-122.286865,0.0000824,-4.084072788,8240,3.915927212,15.09294796,14.42014503,52.50897598,496.4607239,30.44524956,2.98300004,27.46224976,8.953874588,20.77366638,20.9701252,8.953874588,728,156,1,93.8258667,403,7,13,403
Fetzer,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Napa Valley",CA,38.2975381,-122.286865,0.0001193,-3.923359556,11930,4.076640444,15.09294796,14.42014503,52.50897598,496.4607239,30.44524956,2.98300004,27.46224976,8.953874588,20.77366638,20.9701252,8.953874588,728,156,1,93.8258667,403,7,13,403
Je35,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Napa valley, Conn Creek road",CA,38.4658,-122.3969,0.002096257,-2.67855554,209625.6684,5.32144446,14.65508366,14.40195847,52.48479462,494.8992004,30.33824921,2.898000002,27.44024849,8.710666656,20.45129204,20.66229248,8.710666656,846,184,1,93.99051666,470,9,16,470
Je35,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Napa valley, Conn Creek road",CA,38.4658,-122.3969,0.03205298,-1.494131586,3205298.013,6.505868414,14.65508366,14.40195847,52.48479462,494.8992004,30.33824921,2.898000002,27.44024849,8.710666656,20.45129204,20.66229248,8.710666656,846,184,1,93.99051666,470,9,16,470
Je43,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Napa valley, Rutherford",CA,38.4575,-122.4219,0.0005284,-3.277037191,52840,4.722962809,14.65508366,14.40195847,52.48479462,494.8992004,30.33824921,2.898000002,27.44024849,8.710666656,20.45129204,20.66229248,8.710666656,846,184,1,93.99051666,470,9,16,470
Je43,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Napa valley, Rutherford",CA,38.4575,-122.4219,0.009342,-2.029560137,934200,5.970439863,14.65508366,14.40195847,52.48479462,494.8992004,30.33824921,2.898000002,27.44024849,8.710666656,20.45129204,20.66229248,8.710666656,846,184,1,93.99051666,470,9,16,470
Je51,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Napa valley, Veteran peak (nearby)",CA,38.4061,-122.3414,0.007714286,-2.11270428,771428.5714,5.88729572,14.65508366,14.40195847,52.48479462,494.8992004,30.33824921,2.898000002,27.44024849,8.710666656,20.45129204,20.66229248,8.710666656,846,184,1,93.99051666,470,9,16,470
Je51,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Napa valley, Veteran peak (nearby)",CA,38.4061,-122.3414,0.025935484,-1.586105645,2593548.387,6.413894355,14.65508366,14.40195847,52.48479462,494.8992004,30.33824921,2.898000002,27.44024849,8.710666656,20.45129204,20.66229248,8.710666656,846,184,1,93.99051666,470,9,16,470
Ann-1,subsp.sandyi,Oleander,Nerium oleander,tree,0,WUS,CA,"USA, California, Palm Springs",CA,33.8302961,-116.5452921,0,0,0,0,15.98270798,15.63004208,47.72969055,659.637146,34.29524994,1.54824996,32.74700165,9.203624725,21.54554176,24.41179085,8.526124954,421,72,2,71.60301208,205,24,50,202
Ann-1,subsp.sandyi,Oleander,Nerium oleander,tree,0,WUS,CA,"USA, California, Palm Springs",CA,33.8302961,-116.5452921,0,0,0,0,15.98270798,15.63004208,47.72969055,659.637146,34.29524994,1.54824996,32.74700165,9.203624725,21.54554176,24.41179085,8.526124954,421,72,2,71.60301208,205,24,50,202
Riv11,subsp.morus,Mulberry,Morus albus,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0,0,0,0,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv11,subsp.morus,Mulberry,Morus albus,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0,0,0,0,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv13,subsp.fastidiosa,redbud,Cercis occidentalis,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0.000000319,-6.496643394,31.86813187,1.503356606,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv13,subsp.fastidiosa,redbud,Cercis occidentalis,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0.000000351,-6.455265348,35.05376344,1.544734652,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv16,subsp.morus,Mulberry,Morus albus,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0,0,0,0,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv16,subsp.morus,Mulberry,Morus albus,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0,0,0,0,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv19,subsp.morus,Mulberry,Morus albus,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0.0000000635,-7.197280558,6.349206349,0.802719442,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv19,subsp.morus,Mulberry,Morus albus,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0,0,0,0,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv25,subsp.morus,Mulberry,Morus albus,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0,0,0,0,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv25,subsp.morus,Mulberry,Morus albus,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0,0,0,0,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv5,subsp.multiplex,Plum,Prunus cerasifera,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0,0,0,0,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
Riv5,subsp.multiplex,Plum,Prunus cerasifera,tree,0,WUS,CA,"USA, California, Riverside",CA,33.9806005,-117.3754942,0,0,0,0,18.02050018,15.75041676,53.40346146,492.6359253,34.25925064,4.765999794,29.4932518,13.02124977,23.93124962,24.49766731,12.44354153,346,73,1,94.61168671,209,7,15,191
RH1,subsp.multiplex,Olive,Olea europaea,tree,1,WUS,CA,"USA, California, San Diego",CA,32.715738,-117.1610838,0,0,0,0,18.07042503,11.47487068,54.70064545,342.7975159,28.46056747,7.482989788,20.97757721,14.51877117,21.81937218,22.60652924,14.1625433,301,61,1,91.02664185,176,6,10,154
RH1,subsp.multiplex,Olive,Olea europaea,tree,1,WUS,CA,"USA, California, San Diego",CA,32.715738,-117.1610838,0,0,0,0,18.07042503,11.47487068,54.70064545,342.7975159,28.46056747,7.482989788,20.97757721,14.51877117,21.81937218,22.60652924,14.1625433,301,61,1,91.02664185,176,6,10,154
