Strain,Subspecies,Host_cn,Host_sn,Location1,Location2,Mean,SE,Sequences
IVIA5901,subsp.multiplex,Almonds,Prunus dulcis,Spain,"Spain, Alicante",0.00E+00,0.00E+00,Y
IVIA6902,subsp.multiplex,Almonds,Prunus dulcis,Spain,Spain,0.00E+00,0.00E+00,Y
Je1,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Santa Barbara, Lompoc",3.09E-02,2.58E-02,Y
Je103,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Temecula, Vista de Oro road",2.29E-03,2.50E-04,Y
Je118,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Temecula, Avenida Arriba",1.14E-03,2.81E-04,Y
Je13,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Sonoma, Bradford Mountain",6.64E-03,3.14E-03,Y
Je17,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Sonoma, Bradford Mountain",1.48E-01,1.94E-02,Y
Je35,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Napa valley, Conn Creek road",1.71E-02,1.50E-02,Y
Je4,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Santa Barbara, Cebada Canyon road",1.18E-03,5.00E-04,Y
Je43,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Napa valley, Rutherford",4.94E-03,4.41E-03,Y
Je51,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Napa valley, Veteran peak (nearby)",1.68E-02,9.11E-03,Y
Je60,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Bakersfiled, Tower Line road",1.03E-03,6.06E-04,Y
Je63,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Bakersfield, General Beale road",8.46E-02,6.42E-02,Y
Je73,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Bakersfield, Buena Vista boulevard",1.95E-03,1.35E-03,Y
Je78,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Bakersfield, General Beale road",2.52E-02,1.72E-02,Y
Je92,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Sonoma, Porter Creek",4.99E-03,2.43E-03,Y
L95-1,subsp.multiplex,lupinus,Lupinus aridonum,FL,"USA, Florida, Orange",4.55E-02,1.90E-02,Y
LA-Y3C,subsp.multiplex,Blueberry,Vaccinium ashei,LA,"USA, Louisiana, East Feliciana",1.32E-04,1.28E-04,Y
LLAFAL718A,subsp.multiplex,weeds,Iva angustifolia,TX,"USA, Texas, Llano, Tow",0.00E+00,0.00E+00,Y
LM10,subsp.multiplex,Olive,Olea europaea,CA,"USA, California, Los Angeles",0.00E+00,0.00E+00,Y
M12,subsp.multiplex,Almonds,Prunus dulcis,CA,"USA, California, Kern",0.00E+00,0.00E+00,Y
M23,subsp.fastidiosa,Almonds,Prunus dulcis,CA,"USA, California, San Joaquin Valley, Kern County",3.01E-06,2.77E-06,Y
MEDPRI047,subsp.sandyi,Oleander,Nerium oleander,TX,"USA, Texas",0.00E+00,0.00E+00,Y
Oak92-10,subsp.multiplex,pecan,Quercus nigra,FL,"USA, Florida, Lake",0.00E+00,0.00E+00,Y
OC8,subsp.sandyi,Olive,Olea europaea,CA,"USA, California",0.00E+00,0.00E+00,Y
PD7202,subsp.pauca,Olive,Olea europaea,Italy,Italy,0.00E+00,0.00E+00,Y
AlmaReb1,subsp.fastidiosa,Blueberry,Vaccinium spp.,GA,"USA, Georgia, Bacon, Blake Williams Farm",5.34E-03,3.66E-03,Y
R2XF4358_18,subsp.fastidiosa,Italian buckthorn,Rhamnus alaternus,Spain,Spain,9.19E-05,8.15E-05,Y
RBCF119,subsp.multiplex,pecan,Carya illinoinensis,GA,"USA, Alabama, Lowndes, Lowndesboro",0.00E+00,0.00E+00,Y
Red_Oak_2,subsp.multiplex,Oak,Quercus rubra,GA,"USA, Georgia",0.00E+00,0.00E+00,Y
RH1,subsp.multiplex,Olive,Olea europaea,CA,"USA, California, San Diego",0.00E+00,0.00E+00,Y
Riv11,subsp.morus,Mulberry,Morus albus,CA,"USA, California, Riverside",0.00E+00,0.00E+00,Y
Riv13,subsp.fastidiosa,redbud,Cercis occidentalis,CA,"USA, California, Riverside",3.35E-07,1.59E-08,Y
Riv16,subsp.morus,Mulberry,Morus albus,CA,"USA, California, Riverside",0.00E+00,0.00E+00,Y
Riv19,subsp.morus,Mulberry,Morus albus,CA,"USA, California, Riverside",3.17E-08,0.00E+00,Y
Riv25,subsp.morus,Mulberry,Morus albus,CA,"USA, California, Riverside",0.00E+00,0.00E+00,Y
